,kingdom,phylum,class,order,family,genus,species,locality,stateProvince,lat,lng,elevation,day,month,year,taxonKey,ScientificName,VernacularNames
22,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Area Cataratas. Cruce de control, cerca<br /> </p>",Misiones,-25.6878,-54.45177,184.0,29.0,12.0,1999.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
23,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>RN Nº 101 y Ruta Acceso Area Cataratas. Cruce RN Nº 101 y Acceso Cataratas<br /> </p>,Misiones,-25.69073,-54.47802,234.0,20.0,12.0,1998.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
24,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>RN Nº 101<br /> </p>,Misiones,-25.69822,-54.33917,255.0,17.0,10.0,1991.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
25,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Ex-ruta 12<br /> </p>,Misiones,-25.70932,-54.44183,212.0,19.0,2.0,2001.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
26,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Camino a Seccional Bernabé Méndez. Subida del Tigre<br /> </p>,Misiones,-25.74424,-54.44841,277.0,26.0,4.0,1999.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
27,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Picada anchico 250 m <br /> </p>,Misiones,-25.67743,-54.44592,181.0,9.0,7.0,1995.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
28,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Escuela Nº 609. Acceso a Área Cataratas. Entrada escuela 609<br /> </p>,Misiones,-25.68183,-54.44928,186.0,25.0,4.0,1995.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
29,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Area Cataratas. Control Acceso Area Cataratas. Curva a 100 m del control de acceso<br /> </p>,Misiones,-25.69025,-54.45404,185.0,1.0,11.0,1995.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
30,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Ruta 12. Reserva Nacional Iguazu<br /> </p>,Misiones,-25.64865,-54.52475,222.0,5.0,4.0,1995.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
31,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>RN Nº 101, 1 kilómetro de seccional Yacuy, en curva del Palo Rosa<br /> </p>",Misiones,-25.6821,-54.17068,240.0,4.0,1.0,2001.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
32,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Sendero Yacaratiá. Inicio<br /> </p>,Misiones,-25.66061,-54.50073,222.0,29.0,6.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
33,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Sendero Macuco. 1km Sendero Macuco (desde el CIES)<br /> </p>,Misiones,-25.67191,-54.44824,187.0,7.0,1.0,1998.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
34,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Sendero Macuco, 1750 m<br /> </p>",Misiones,-25.66486,-54.45026,183.0,12.0,12.0,1998.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
35,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Sendero Macuco, 1700 m<br /> </p>",Misiones,-25.66531,-54.45017,183.0,12.0,9.0,1999.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
36,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Sendero Macuco, 1200<br /> </p>",Misiones,-25.6694,-54.44847,186.0,5.0,6.0,1998.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
37,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Seccional El Cruce. Bajo antes<br /> </p>,Misiones,-25.71494,-54.44842,193.0,16.0,10.0,1999.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
38,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Ruta Nacional 12 vieja (camino acceso garganta) 50 metros del portón <br /> </p>,Misiones,-25.71396,-54.44136,231.0,31.0,5.0,2001.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
39,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Ruta Nacional 101, palmital pasando parcela Sandra 2 km <br /> </p>",Misiones,-25.6836,-54.19358,329.0,24.0,10.0,2001.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
40,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Ruta Nacional 101 y Aº Santo Domingo <br /> </p>,Misiones,-25.67337,-54.27101,227.0,8.0,4.0,1992.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
41,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Ruta Nacional 101 terrada, a 100 metros de la Seccional El Cruce. Yendo hacia puesto Gendarmería Nacional<br /><br /> </p>",Misiones,-25.7146,-54.44224,231.0,9.0,9.0,2001.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
42,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Ruta de Acceso Area Cataratas, cerca de entrada a nuevo control<br /> </p>",Misiones,-25.69003,-54.45895,217.0,1.0,12.0,2000.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
43,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Ruta de acceso Area Cataratas, 200 m antes acceso Laboratorio CIES<br /> </p>",Misiones,-25.67797,-54.45129,183.0,17.0,12.0,2001.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
44,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Ruta asfaltada acceso a Area Cataratas, frente a CIES <br /> </p>",Misiones,-25.67921,-54.44986,185.0,24.0,11.0,2000.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
45,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>RN Nº 101. Cruce acceso Area Cataratas y Acceso Aeropuerto Internacional Cataratas. Entre Acceso Área Cataratas y Acceso a Aeropuerto<br /> </p>,Misiones,-25.71214,-54.46267,235.0,5.0,9.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
46,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>RN Nº 101. Arroyo Yacuy Chico y Arroyo Yacuy Grande. Entre Arroyo Yacuy Chico y Arroyo Yacuy Grande<br /> </p>,Misiones,-25.682,-54.17065,242.0,25.0,8.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
47,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>RN Nº 101. Arroyo Santo Domingo. En las proximidades del arroyo<br /> </p>,Misiones,-25.67337,-54.27101,227.0,30.0,7.0,2003.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
48,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Palmital del Cruce<br /> </p>,Misiones,-25.69141,-54.48111,256.0,7.0,11.0,1999.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
49,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>RN Nº 101. Acceso Área Cataratas y RN N°101<br /> </p>,Misiones,-25.69073,-54.47802,234.0,3.0,3.0,1997.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
50,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>RN N°101 a 100m Seccional El Cruce, hacia el bajo<br /> </p>",Misiones,-25.7146,-54.44224,231.0,17.0,8.0,1998.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
51,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>RN Nº 101. Cruce acceso Área Cataratas y RN N°101<br /> </p><p> </p>,Misiones,-25.69073,-54.47802,234.0,3.0,6.0,2002.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
52,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Cruzando RN Nº 101. Aproximadamente a 120 metros del acceso a garganta<br /><br /> </p>,Misiones,-25.71453,-54.43995,239.0,7.0,7.0,2001.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
53,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Cantera. Cerca cruce RN N°101 y ruta acceso Area Cataratas<br /> </p>,Misiones,-25.68947,-54.47478,220.0,9.0,2.0,2000.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
54,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p>Cantera. Acceso a Area Cataratas, entre casilla de control y ex-cantera<br /> </p>",Misiones,-25.68823,-54.46441,236.0,22.0,5.0,2000.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
55,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,<p>Cantera. Acceso Área Cataratas frente cantera</p>,Misiones,-25.68955,-54.47476,221.0,11.0,3.0,1997.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
56,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,"<p> Camino a Seccional El Cruce, 50 m antes de la tranquera<br /> </p>",Misiones,-25.71396,-54.44136,231.0,6.0,4.0,1993.0,2435146,Puma yagouaroundi,Jaguarondi Jaguarundi Yaguarundi
