,kingdom,phylum,class,order,family,genus,species,locality,stateProvince,lat,lng,elevation,day,month,year,taxonKey,ScientificName,VernacularNames
409,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>El Chaltén, en el patio de una casa entre calles Brener y San Martín</p>",Santa Cruz,-49.32327,-72.89405,398.0,29.0,8.0,2009.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
410,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>El Chaltén, una cuadra antes del puente nuevo</p>",Santa Cruz,-49.33369,-72.88341,393.0,20.0,8.0,2009.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
411,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>El Chaltén, el el puente de la entrada al pueblo</p>",Santa Cruz,-49.32327,-72.89405,398.0,12.0,8.0,2009.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
412,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>El Chaltén, al lado de la parrilla ""Mi Viejo""</p>",Santa Cruz,-49.32318,-72.89391,398.0,3.0,8.0,2009.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
413,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>El Chaltén, enfrente del terreno del señor Trejo</p>",Santa Cruz,-49.32264,-72.89529,392.0,27.0,7.0,2009.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
414,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>El Chaltén, terreno del señor Trejo</p>",Santa Cruz,-49.32264,-72.89529,329.0,19.0,7.0,2008.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
415,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Cercanías del Mirador Cañon Río de las Vueltas</p>,Santa Cruz,-49.3726,-72.81125,404.0,9.0,7.0,2009.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
416,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Ruta Provincial nº 23, dos curvas antes de La Pista, a la altura del boulder El Calamar</p>",Santa Cruz,-49.28451,-72.88929,408.0,28.0,6.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
417,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Sobre el puente nuevo del Río de las Vueltas</p>,Santa Cruz,-49.32836,-72.88397,400.0,1.0,7.0,2009.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
418,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Seccional Río Guanaco</p>,Santa Cruz,-49.91666,-72.83333,679.0,12.0,11.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
419,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Cercanías del Campamento Poincenot</p>,Santa Cruz,-49.26031,-72.94616,0.0,30.0,12.0,2004.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
420,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Sendero Madre e Hija, cerca de Laguna Madre</p>",Santa Cruz,-49.28905,-72.95722,730.0,28.0,12.0,2004.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
421,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Sendero a Laguna Torre, después del devío de caballos </p>",Santa Cruz,-49.33221,-72.92902,600.0,29.0,11.0,2004.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
422,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Cerro Huemul</p>,Santa Cruz,-49.43527,-73.01015,1380.0,10.0,11.0,2004.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
423,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Ruta Provincial 23</p>,Santa Cruz,-49.30753,-72.90023,412.0,25.0,1.0,2004.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
424,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Sendero a Río Blanco, a 300 metros del inicio del mismo</p>",Santa Cruz,-49.29936,-72.92653,0.0,18.0,1.0,2004.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
425,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Sendero a Laguna Toro, 5 minutos antes del cruze a la Loma del Pliegue Tumbado</p>",Santa Cruz,-49.34944,-72.90366,0.0,13.0,1.0,2004.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
426,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Sendero a Río Blanco, 200 Metros antes de llegar a la Laguna de Los Patos</p>",Santa Cruz,-49.29768,-72.92568,0.0,7.0,1.0,2004.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
427,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Ruta Prov. 23, a la altura de la tranquera de Varas</p>",Santa Cruz,-49.25062,-72.90419,0.0,7.0,1.0,2004.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
428,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Campamento Laguna Capri</p>,Santa Cruz,-49.30301,-72.92912,759.0,5.0,1.0,2004.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
429,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Doscientos metros del puesto de Pila hacia el río.</p>,Formosa,-24.3064,-61.82867,0.0,10.0,10.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
430,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Picada Mancilla</p>,Chaco,-26.86417,-59.63982,79.0,8.0,2.0,2007.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
431,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Ingreso a la Secc. El Cuadro, en la intersección del camino que va a Ea. Las Piedras y Ea. Las Lechuzas</p>",Santa Cruz,-47.55345,-67.95155,272.0,10.0,11.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
432,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Secc. El Cuadro, a 100 m. del ingreso a las viviendas</p>",Santa Cruz,-47.0,-67.9658,207.0,24.0,7.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
433,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Camino interno entre la Secc. La Horqueta y el límite</p>,Santa Cruz,-47.82081,-68.26892,218.0,3.0,4.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
434,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Seccional El Cuadro</p>,Santa Cruz,-47.58172,-67.96668,196.0,5.0,3.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
435,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Ingreso por el límite Norte del MN Bosques Petrificados</p>,Santa Cruz,-47.63738,-67.8955,0.0,28.0,2.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
436,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Ingreso al MN Bosques Petrificados, sobre la Ruta Provincial Nº 49, 500 m. antes de guardagando</p>",Santa Cruz,-47.66686,-67.89112,82.0,16.0,2.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
437,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Ea. Laguna Manantiales, a 500 m. de las casas</p>",Santa Cruz,-47.57804,-68.23632,106.0,31.0,1.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
438,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Camino interno llegando a la Secc. El Cuadro</p>,Santa Cruz,-47.64991,-67.9032,0.0,26.0,9.0,2010.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
439,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,<p>Sendero Lago de Las Juntas</p>,Chubut,-42.72469,-71.75229,544.0,10.0,1.0,2012.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
440,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,"<p>Portada centro de ingreso al Paque Nacional, Ruta Provincial Nº 71</p>",Chubut,-42.90061,-71.60013,0.0,5.0,5.0,2009.0,2435099,Puma concolor,"Red tiger Puma Cougar León colorado Onza bermeja León de montaña León bayo Deer tiger Catamount Puma, mountain lion, cougar Mitzli Panther; florida panther (coryi) León americano Mountain lion Couguar"
441,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera onca,<p>Parque Provincial Urugai. A 1 km del destacamento Uruzú.</p>,Misiones,-25.85777,-54.16941,281.0,18.0,1.0,2010.0,5219426,Panthera onca,Tigre Otorongo Yaguar Jaguar Yaguareté Tigre mariposo Tigre americano Tigre real
442,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera onca,<p>Camino a Seccional Hidrómetro. A 9.5 km de tranquera camping Ñandú<br /> </p>,Misiones,-25.64058,-54.39182,195.0,21.0,6.0,2001.0,5219426,Panthera onca,Tigre Otorongo Yaguar Jaguar Yaguareté Tigre mariposo Tigre americano Tigre real
443,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera onca,<p>Seccional El Cruce. Frente<br /> </p>,Misiones,-25.71457,-54.44068,233.0,30.0,8.0,2000.0,5219426,Panthera onca,Tigre Otorongo Yaguar Jaguar Yaguareté Tigre mariposo Tigre americano Tigre real
444,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Entre Lata kue y Kelso<br /> </p>,Formosa,-25.02649,-58.08139,76.0,12.0,9.0,2007.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
445,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Potrero Nº 1</p>,Formosa,-25.13998,-58.13671,77.0,21.0,2.0,2004.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
446,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Mirador de la Laguna Blanca (mangruyo)</p>,Formosa,-25.17069,-58.13051,73.0,1.0,6.0,2004.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
447,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>2º Puente de Estero Poi</p>,Formosa,-25.12037,-58.17324,76.0,4.0,9.0,2004.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
448,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Terraplen Estero Poi</p>,Formosa,-25.12037,-58.17324,76.0,19.0,4.0,2004.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
449,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Terraplen de Estero Poi</p>,Formosa,-25.12037,-58.17324,76.0,20.0,6.0,2004.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
450,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Pasarela</p>,Formosa,-25.17164,-58.13209,73.0,5.0,3.0,2004.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
451,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Entre Lata kue y kelso</p>,Formosa,-25.02649,-58.08139,76.0,29.0,8.0,2007.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
452,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Entre Lata kue y Kelso</p>,Formosa,-25.02649,-58.08139,76.0,23.0,8.0,2007.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
453,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Entre Lata kue y Kelso</p>,Formosa,-25.02649,-58.08139,76.0,23.0,8.0,2007.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
454,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Entre Lata kue y Kelso</p>,Formosa,-25.02649,-58.08139,76.0,22.0,8.0,2007.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
455,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,"<p>P.N. El Palmar, casilla de cobro de acceso.</p>",Entre Ríos,-31.85432,-58.3194,32.0,3.0,10.0,2006.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
456,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,"<p>P.N. El Palmar. Camino principal, banquina N.</p>",Entre Ríos,-31.86357,-58.26967,32.0,24.0,5.0,2006.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
457,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guigna,"<p>RN 40 Sur, Km 20,14. Entrada a Pehuma Hué y cartel divisoria de aguas</p>",Neuquén / Río Negro,-41.26081,-71.48766,843.0,16.0,4.0,2011.0,2434924,Leopardus guigna,Kodkod
458,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guigna,"<p>Costa Oeste del Lgo Mascardi, a 21 Km. de la Seccional Tronador yendo hacia Bariloche</p>",Neuquén / Río Negro,-41.28661,-71.61294,853.0,23.0,8.0,2011.0,2434924,Leopardus guigna,Kodkod
459,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guigna,<p>Entre la población Quintupuray y la Ruta Nacional 234</p>,Neuquén / Río Negro,-40.62861,-71.65805,823.0,2.0,8.0,2010.0,2434924,Leopardus guigna,Kodkod
460,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guigna,"<p>6 Km. desde Los Rápidos hacia Pampa Linda, sobre la ruta</p>",Neuquén / Río Negro,-41.31251,-71.59201,915.0,11.0,6.0,2010.0,2434924,Leopardus guigna,Kodkod
461,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guigna,"<p>A 5 Km. del balcón del mirador de la Isla Corazón, en dirección a Pampa Linda, sobre la ruta</p>",Neuquén / Río Negro,-41.27776,-71.62463,866.0,9.0,2.0,2010.0,2434924,Leopardus guigna,Kodkod
462,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guigna,<p>300 m. antes del mirador de Piuke Huapi yendo hacia el Cerro Tronador</p>,Neuquén / Río Negro,-41.31111,-71.59282,919.0,4.0,1.0,2010.0,2434924,Leopardus guigna,Kodkod
463,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guigna,<p>A 2 Km. del mirador de la Isla Corazón en dirección hacia Pampa Linda</p>,Neuquén / Río Negro,-41.30885,-71.59064,0.0,6.0,11.0,2009.0,2434924,Leopardus guigna,Kodkod
464,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p> Camino del 6</p>,Corrientes,-27.99825,-58.01747,77.0,22.0,11.0,2010.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
465,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,"<p> RP Nº 86, Portada Oeste, a 80m del PNM.</p>",Corrientes,-28.04739,-58.13364,69.0,26.0,5.0,2010.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
466,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,"<p>Potrero Nº 5, RP Nº 86.</p>",Corrientes,-28.00524,-58.00605,73.0,27.0,2.0,2010.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
467,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,<p>Lomada de potrero 8(quemado)</p>,Corrientes,-27.98166,-58.01608,720.0,14.0,8.0,2007.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
468,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,"<p>Ruta Provincial Nº86, altura potrero 2G</p>",Corrientes,-28.01888,-58.05301,71.0,13.0,7.0,2007.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
469,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,"<p>Ruta Provincial Nº 86, laguna de Seccional D´Orbygni</p>",Corrientes,-28.01567,-58.02002,72.0,22.0,3.0,2007.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
470,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,"<p>A 500 metros de la seccional Teuco, hacia la pista de aviación.</p>",Formosa,-24.31462,-61.80771,0.0,29.0,11.0,2010.0,2434947,Leopardus geoffroyi,Gato montés común Geoffroy's cat
471,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pajonales,<p>Límite Este hostería Monte León</p>,Santa Cruz,-50.21772,-68.94204,240.0,21.0,2.0,2010.0,11401493,Leopardus pajeros,Gato de los pajonales
472,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pajonales,<p>Camino viejo de potrero 1</p>,Corrientes,-28.02632,-58.08766,75.0,2.0,8.0,2007.0,11401493,Leopardus pajeros,Gato de los pajonales
473,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pajonales,"<p>Ruta Provincial Nº 86, entre potreros 14 y 15.</p>",Corrientes,-28.04421,-58.12874,69.0,25.0,4.0,2007.0,11401493,Leopardus pajeros,Gato de los pajonales
474,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pajonales,"<p>Ruta Provincial Nº 86, entre potreros 14 y 15.</p>",Corrientes,-28.04421,-58.12874,69.0,12.0,4.0,2007.0,11401493,Leopardus pajeros,Gato de los pajonales
475,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,<p>Camino a Integración sobre Río San Antonio <br /> </p>,Misiones,-25.67961,-53.85937,239.0,6.0,10.0,1994.0,2434930,Leopardus tigrinus,Ocelot cat Oncille Little spotted cat Tigrillo Oncilla Tirica Tiger cat Little tiger cat Northern tiger cat Gato tigre Ozelotkatze
476,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,<p>Río Pilcomayo</p>,Formosa,-25.00927,-58.09514,77.0,11.0,8.0,2007.0,2434982,Leopardus pardalis,Gato onza Ocelote Tigrillo Ozelot Ocelot Manigordo
477,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,<p>Cerca de Balo San Ramon</p>,Formosa,-25.1127,-58.06196,77.0,4.0,7.0,2009.0,2434982,Leopardus pardalis,Gato onza Ocelote Tigrillo Ozelot Ocelot Manigordo
478,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,<p>Entre Lata kue y Kelso</p>,Formosa,-25.02649,-58.08139,76.0,24.0,8.0,2007.0,2434982,Leopardus pardalis,Gato onza Ocelote Tigrillo Ozelot Ocelot Manigordo
479,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,<p>Entre Lata kue y Kelso</p>,Formosa,-25.02649,-58.08139,76.0,24.0,8.0,2007.0,2434982,Leopardus pardalis,Gato onza Ocelote Tigrillo Ozelot Ocelot Manigordo
480,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,<p>Entre Lata kue y Kelso</p>,Formosa,-25.02649,-58.08139,76.0,16.0,8.0,2007.0,2434982,Leopardus pardalis,Gato onza Ocelote Tigrillo Ozelot Ocelot Manigordo
481,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,<p>Ruta de acceso Area Cataratas<br /> </p>,Misiones,-25.68748,-54.45596,184.0,19.0,5.0,2000.0,2434930,Leopardus tigrinus,Ocelot cat Oncille Little spotted cat Tigrillo Oncilla Tirica Tiger cat Little tiger cat Northern tiger cat Gato tigre Ozelotkatze
482,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,<p>Area Cataratas. Sendero Yacaratiá <br /> </p>,Misiones,-25.66061,-54.50073,222.0,25.0,2.0,2002.0,2434930,Leopardus tigrinus,Ocelot cat Oncille Little spotted cat Tigrillo Oncilla Tirica Tiger cat Little tiger cat Northern tiger cat Gato tigre Ozelotkatze
483,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,<p>Area Cataratas. Paseo Superior. Entrada<br /> </p>,Misiones,-25.68408,-54.44669,182.0,7.0,11.0,1999.0,2434930,Leopardus tigrinus,Ocelot cat Oncille Little spotted cat Tigrillo Oncilla Tirica Tiger cat Little tiger cat Northern tiger cat Gato tigre Ozelotkatze
484,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,<p>Area Cataratas. Escuela Nº 609. Entre Escuela y avenida asfaltada<br /> </p>,Misiones,-25.68158,-54.44981,184.0,27.0,7.0,2003.0,2434930,Leopardus tigrinus,Ocelot cat Oncille Little spotted cat Tigrillo Oncilla Tirica Tiger cat Little tiger cat Northern tiger cat Gato tigre Ozelotkatze
485,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus wiedii,<p>Area Cataratas. Control de Acceso. A 100 metros del nuevo control de acceso </p>,Misiones,-25.68784,-54.45598,186.0,28.0,5.0,2001.0,2434950,Leopardus wiedii,Margay Caucel Baumozelot Tigrillo Tree ocelot Gato pintado Gato montés
486,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,"<p>Area Cataratas. Control de Acceso. Poco antes del control de acceso, a la derecha del camino</p>",Misiones,-25.68784,-54.45598,186.0,4.0,10.0,2002.0,2434982,Leopardus pardalis,Gato onza Ocelote Tigrillo Ozelot Ocelot Manigordo
487,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,"<p> Area Cataratas. Control de Acceso. Sobre la curva, 300 m antes de llegar al control</p>",Misiones,-25.68952,-54.45674,197.0,26.0,1.0,2000.0,2434982,Leopardus pardalis,Gato onza Ocelote Tigrillo Ozelot Ocelot Manigordo
488,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,<p>Area Cataratas. Ruta de acceso al área.  Intersección con acceso al CIES </p>,Misiones,-25.67903,-54.45003,186.0,22.0,8.0,1995.0,2434982,Leopardus pardalis,Gato onza Ocelote Tigrillo Ozelot Ocelot Manigordo
